A01AA01,"SODIUM FLUORURE",1775,"FLUOSALYL 1350 PATE NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",1782,"FLUOR MONAL 0,25MG CPR NSFP",COMPRIME,ORALE
A01AA01,"SODIUM FLUORURE",2524,"FLUOR GALEPHAR 0,25MG CPR NSFP",COMPRIME,ORALE
A01AA01,"SODIUM FLUORURE",3376,"FLUOGUM SS SUCRE MENTHE 0,25MG NSFP",GOMME,BUCCALE
A01AA01,"SODIUM FLUORURE",3377,"FLUOGUM SS SUCR FR ROUGE 0.25MG NSFP",GOMME,BUCCALE
A01AA01,"SODIUM FLUORURE",3378,"FLUOPATE PATE DENTIFRICE NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",3391,"SANOGYL BLANC DENTIFRICE 140G NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",3392,"SANOGYL ROSE PATE 56G NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",3393,"SANOGYL ROSE PATE 90G NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",3394,"FLUOR IN 1,5MG CPR NSFP",COMPRIME,ORALE
A01AA01,"SODIUM FLUORURE",4237,"FLUOGEL GEL DENTAIRE NSFP",GEL,DENTAIRE
A01AA01,"SODIUM FLUORURE",4474,"ZYMAFLUOR 1,14MG/ML SOL BUV NSFP",SOLUTION,ORALE
A01AA01,"SODIUM FLUORURE",6040,"NAF CRINEX 0,25MG CPR NSFP",COMPRIME,ORALE
A01AA01,"SODIUM FLUORURE",6407,"SANOGYL BLANC PATE DENTIFRICE NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",6408,"SANOGYL BLANC DENTIFRICE 105G NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",12249,"FLUOCARIL BIF 250 MENTHE F PATE NSFP",PATE,DENTAIRE
A01AA01,"SODIUM FLUORURE",12259,"FLUOCARIL BIF 250 MENTHE P100ML NSFP",PATE,DENTAIRE
A01AA02,"SODIUM MONOFLUOROPHOSPHATE",3368,"FLUOCARIL BIF 180 CITRON GEL NSFP",GEL,DENTAIRE
A01AA02,"SODIUM MONOFLUOROPHOSPHATE",3370,"FLUOCARIL BIF250 MENTHE 50ML NSFP",PATE,DENTAIRE
A01AA02,"SODIUM MONOFLUOROPHOSPHATE",3388,"SANOGYL BLANC PATE 60G NSFP",PATE,DENTAIRE
A01AA02,"SODIUM MONOFLUOROPHOSPHATE",3390,"SANOGYL BLANC PATE 95G NSFP",PATE,DENTAIRE
A01AA02,"SODIUM MONOFLUOROPHOSPHATE",32824,"FLUOCARIL BIF 250 MENTHE P 90ML NSFP",PATE,DENTAIRE
A01AA02,"SODIUM MONOFLUOROPHOSPHATE",32825,"FLUOCARIL BI 250 MENT HERB 40ML NSFP",PATE,DENTAIRE
A01AA30,ASSOCIATIONS,1778,"FLUOCARIL BIF SOL PR BDB 300ML NSFP",SOLUTION,BUCCALE
A01AA30,ASSOCIATIONS,3366,"FLUOCARIL BIF 180 FRAMB 50ML NSFP",PATE,DENTAIRE
A01AA30,ASSOCIATIONS,3367,"FLUOCARIL BIF 180 FRAMB 75ML NSFP",PATE,DENTAIRE
A01AA30,ASSOCIATIONS,3369,"FLUOCARIL BIF 180 MENTHE GEL NSFP",GEL,DENTAIRE
A01AA30,ASSOCIATIONS,3373,"FLUOCARIL BIF 250 ANIS 75ML NSFP",PATE,DENTAIRE
A01AA30,ASSOCIATIONS,3375,"FLUOCARIL BIF 250 MENTHE GEL 75 NSFP",GEL,DENTAIRE
A01AA30,ASSOCIATIONS,3380,"FLUOCARIL BIF SOL PR BDB 1L NSFP",SOLUTION,BUCCALE
A01AA30,ASSOCIATIONS,11632,"SANOGYL BIFLUOR DENTIFRICE 55G NSFP",PATE,DENTAIRE
A01AA30,ASSOCIATIONS,12254,"FLUOCARIL BIF 250 MENTHE 125NSFP",GEL,DENTAIRE
A01AA30,ASSOCIATIONS,12255,"FLUOCARIL BIF 180 FRAMB 6ML NSFP",PATE,DENTAIRE
A01AA30,ASSOCIATIONS,12257,"FLUOCARIL BIF 180 FRAISE 6ML NSFP",GEL,DENTAIRE
A01AA30,ASSOCIATIONS,12258,"FLUOCARIL BIF 180 FRAISE 50ML NSFP",GEL,DENTAIRE
A01AA30,ASSOCIATIONS,12261,"FLUOCARIL BIF 250 ANIS 6ML NSFP",PATE,DENTAIRE
A01AA30,ASSOCIATIONS,32818,"FLUOCARIL BI 180 FRAM PATE 40ML NSFP",PATE,DENTAIRE
