C02AC01,CLONIDINE,2513,"BARCLYD 0,15MG/1ML SOL INJ NSFP",SOLUTION,INTRAMUSCULAIRE
C02AC01,CLONIDINE,2513,"BARCLYD 0,15MG/1ML SOL INJ NSFP",SOLUTION,INTRAVEINEUSE
C02AC01,CLONIDINE,2513,"BARCLYD 0,15MG/1ML SOL INJ NSFP",SOLUTION,PARENTERALE
C02AC01,CLONIDINE,2576,"BARCLYD 0,15MG CPR NSFP",COMPRIME,ORALE
C02AC01,CLONIDINE,9553,"CLONIDINE RPG 0,15MG CPR NSFP",COMPRIME,ORALE
C02AC02,GUANFACINE,6462,"ESTULIC 2MG CPR NSFP",COMPRIME,ORALE
C02AC04,TOLONIDINE,3538,"EUCTAN 0,5MG/ML SOL BUV 100ML NSFP",SOLUTION,ORALE
C02AC04,TOLONIDINE,4373,"EUCTAN 0,5MG/ML SOL BUV 30ML NSFP",SOLUTION,ORALE
C02AC05,MOXONIDINE,36574,"MOXONIDINE RTP 0,2MG CPR NSFP",COMPRIME,ORALE
C02AC05,MOXONIDINE,36575,"MOXONIDINE RTP 0,4MG CPR NSFP",COMPRIME,ORALE
C02AC05,MOXONIDINE,36579,"MOXONIDINE SDZ 0,2MG CPR NSFP",COMPRIME,ORALE
C02AC05,MOXONIDINE,36580,"MOXONIDINE SDZ 0,4MG CPR NSFP",COMPRIME,ORALE
C02AC06,RILMENIDINE,15560,"RILMENIDINE QUA 1MG CPR NSFP",COMPRIME,ORALE
